"Sec Short Name","Board","Session Name","Last","Last Time","Bid Depth","Bid Price","Total Value","Offer Price","Total Volume","Offer Depth","Issued Qty","Security","Ref Price","Change Price","High Limit","Low Limit","Daily Value","Daily Volume","Number of Trades","MM Rule Tag","Contract Size","High","Low","Unadj Prev Price","Previous Date","Inherited State","Open","Open Qty","Close","Change Percent","Avg Price","52 Week High Price","52 Week Low Price","TOP","Orders","Last Auction Price","Has News","Change LTP","Sec Name","ISIN","Quote Basis","Security Board State","Previous Close","Market Cap","CB Ref Price","Change Ref Price","Change CB Ref Price","Change Percent Ref Price","Close Bid Price","Close Bid Depth","Close Offer Price","NMS","Close Offer Depth","CB High Limit","CB Low Limit","Ref Price Div Adj","52 Week High Date","52 Week Low Date","Accrued Interest","Adjustment Factor","Avg Yield","Bid Yield","Board Name","CB Ref Yield","Change CB Ref Yield","Change Ref Yield","Change Yield","Close Bid Yield","Close Offer Yield","Closing Yield","Coupon Rate","Currency Id","Expiry Price","High Yield","Instrument","Is Tradeable","Issue Date","Issuer Id","Last Qty","Last Yield","Low Yield","Market Maker Quotation Status","Maturity Date","Max Qty","Min Qty","Next Coupon Date","Number of Bids","Number of Offers","Off Mkt Last","Off Mkt Last Qty","Off Mkt Value Today","Off Mkt Volume Today","Offer Yield","Open Yield","Option Strike","Option Verb","Previous Yield","Qty Multiplier","Ref Price Date Time","Ref Yield","Sector","Security Remarks","Settlement Date","Settlement Price","Settlement Price Type","TOV","Underlying Security"
"NBK","BUY-IN","Enquiry","","","","","","","","","6125320797","101","990","","1188.0","990.0","","","","4","1","","","970","11/2/2018","A","","","","","","970","760","","","","","","NATIONAL BANK OF KUWAIT","KW0EQ0100010","","A","970","5941561173.090","970","","","","","","","","","","","970","11/2/2018","5/23/2018","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","PREMIER_MKT","True","","IS101T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"GBK","BUY-IN","Enquiry","","","","","","","","","2909974966","102","622","","746.0","622.0","","","","0","1","","","798","9/23/2018","A","","","","","","798","325","","","","","","GULF BANK","KW0EQ0100028","","A","798","2322160022.868","798","","","","","","","","","","","798","9/23/2018","4/19/2018","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","PREMIER_MKT","True","","IS102T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"CBK","BUY-IN","Enquiry","","","","","","","","","1635259467","103","495","","594.0","495.0","","","","0","1","","","550","12/16/2018","A","","","","","","588","550","","","","","","COMMERCIAL BANK OF KUWAIT","KW0EQ0100036","","A","550","899392706.850","550","","","","","","","","","","","550","5/15/2018","12/16/2018","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS103T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"ABK","BUY-IN","Enquiry","","","","","","","","","1606213070","104","470","","564.0","470.0","","","","0","1","","","493","9/23/2018","A","","","","","","493","493","","","","","","AL-AHLI BANK OF KUWAIT","KW0EQ0100044","","A","493","791863043.510","493","","","","","","","","","","","493","9/23/2018","9/23/2018","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS104T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"ALMUTAHED","BUY-IN","Enquiry","","","","","","","","","1870937571","105","340","","408.0","340.0","","","","0","1","","","320","","A","","","","","","","","","","","","","AHLI UNITED BANK","KW0EQ0100051","","A","320","598700022.720","320","","","","","","","","","","","320","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS105T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"KIB","BUY-IN","Enquiry","","","","","","","","","933689420","106","447","","536.0","447.0","","","","0","1","","","465","12/16/2018","A","","","","","","465","465","","","","","","KUWAIT INTERNATIONAL BANK","KW0EQ0100069","","A","465","434165580.300","465","","","","","","","","","","","465","12/16/2018","12/16/2018","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","PREMIER_MKT","True","","IS106T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"BURG","BUY-IN","Enquiry","","","","","","","","","2145888909","107","583","","699.0","583.0","","","","0","1","","","280","","A","","","","","","","","","","","","","BURGAN BANK","KW0EQ0100077","","A","280","600848894.520","280","","","","","","","","","","","280","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","PREMIER_MKT","True","","IS107T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"KFIN","BUY-IN","Enquiry","","","","","","","","","6342220738","108","622","","746.0","622.0","","","","0","1","","","593","","A","","","","","","","","","","","","","KUWAIT FINANCE HOUSE","KW0EQ0100085","","A","534","3386745874.092","534","","","","","","","","","","","534","","","","0.457313973","","","Buy-In","","","","","","","","","KWD","","","PREMIER_MKT","True","","IS108T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"BOUBYAN","BUY-IN","Enquiry","","","","","","","","","2272890403","109","648","","777.0","648.0","","","","0","1","","","483","","A","","","","","","","","","","","","","BOUBYAN BANK","KW0EQ0102065","","A","483","1097806064.649","483","","","","","","","","","","","483","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","PREMIER_MKT","True","","IS109T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8300","","1/27/2019","","","",""
"SANAD","BUY-IN","Enquiry","","","","","","","","","437300000","2003","110","","132.0","110.0","","","","0","1","","","100.0","","A","","","","","","","","","","","","","SANAD HOLDING COMPANY","KW0EQ0202329","","A","100.0","43730000.000","100.0","","","","","","","","","","","100.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2003T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
